query file: query_1.txt
14.  00775.txt: 0.18812055322609414
15.  00483.txt: 0.18253092378721977
16.  00186.txt: 0.17646985240195748
17.  00596.txt: 0.1761399117411515
18.  00396.txt: 0.16843294369952838
19.  01119.txt: 0.1671953252652502
20.  00234.txt: 0.15863086168383955

query file: query_12.txt
1.  00896.txt: 0.20205564876226564
2.  00834.txt: 0.19539065959167182
3.  00383.txt: 0.18363672560860786
4.  00140.txt: 0.1729391626333921
5.  00466.txt: 0.16464803213004267
6.  00070.txt: 0.1636134123798802
7.  00046.txt: 0.15435665732204443
8.  00125.txt: 0.1385684897634391
9.  00775.txt: 0.1379668064167698
10.  00381.txt: 0.13756088325710422
11.  00032.txt: 0.13068891275001943
12.  00872.txt: 0.12915143586006575
13.  00428.txt: 0.12574493336843404
14.  00205.txt: 0.12286377660539405
15.  00490.txt: 0.12000928327134595
16.  01237.txt: 0.1152634947557191
17.  00919.txt: 0.11478997070560389
18.  01200.txt: 0.11320787906072453
19.  00289.txt: 0.1125333701361717
20.  00500.txt: 0.11095281334192443

query file: query_13.txt
1.  00791.txt: 0.1931510202358573
2.  00571.txt: 0.15378149391733842
3.  00314.txt: 0.1519538789571304
4.  00150.txt: 0.1508368859945634
5.  00643.txt: 0.14666345484604168
6.  00921.txt: 0.1440019020674137
7.  00499.txt: 0.14346038817553142
8.  00690.txt: 0.13777253669584327
9.  00920.txt: 0.13577830686517897
10.  00798.txt: 0.1332381946610024
11.  00301.txt: 0.1292299580530666
12.  00496.txt: 0.12765031587866063
13.  01158.txt: 0.12385863260947852
14.  01186.txt: 0.12376073081908463
15.  00915.txt: 0.11896900660404729
16.  00770.txt: 0.118051425623967
17.  00944.txt: 0.11670150508555732
18.  00635.txt: 0.1165666376412396
19.  00879.txt: 0.11489992564977003
20.  00688.txt: 0.11432892554025272

query file: query_14.txt
1.  00791.txt: 0.4859676174427232
2.  00798.txt: 0.3458899910050883
3.  00150.txt: 0.26368005050181875
4.  00643.txt: 0.24028738339745187
5.  00440.txt: 0.21713748986516446
6.  01052.txt: 0.21573770751543972
7.  00314.txt: 0.21142208251064706
8.  00815.txt: 0.19760567377915433
9.  00899.txt: 0.18497341363236283
10.  00913.txt: 0.18350236276532939
11.  00920.txt: 0.17531545197759618
12.  01123.txt: 0.17355414717863343
13.  00930.txt: 0.16631221448646136
14.  00928.txt: 0.15793294417714568
15.  00652.txt: 0.15304744961825487
16.  00210.txt: 0.14957333541581963
17.  00959.txt: 0.1479802304700775
18.  00688.txt: 0.14715954316509433
19.  01223.txt: 0.14623894241468896
20.  00719.txt: 0.14394907507255295

query file: query_15.txt
1.  00994.txt: 0.3231940520015484
2.  00690.txt: 0.2858697069246807
3.  00601.txt: 0.2468589686272629
4.  00549.txt: 0.18643168861543888
5.  00822.txt: 0.1640813371111515
6.  00443.txt: 0.15053894036513768
7.  00422.txt: 0.13661080348519117
8.  00322.txt: 0.1347927400133874
9.  00398.txt: 0.13014955620429366
10.  00099.txt: 0.12500851791697684
11.  00252.txt: 0.11810161182406846
12.  00770.txt: 0.11254348037374454
13.  00559.txt: 0.11036561110842129
14.  00475.txt: 0.10936246262557771
15.  00642.txt: 0.10451097731683136
16.  00186.txt: 0.09974792407249371
17.  00333.txt: 0.09973183164073963
18.  00042.txt: 0.09882506630232597
19.  00837.txt: 0.09822138514026073
20.  00370.txt: 0.09498719286642639

query file: query_16.txt
1.  00991.txt: 0.341007687156887
2.  00096.txt: 0.3055844852460865
3.  00649.txt: 0.27511349899533166
4.  00659.txt: 0.2703987493817888
5.  00908.txt: 0.26659535193298456
6.  00799.txt: 0.2547245456038763
7.  00834.txt: 0.22403795193808046
8.  00798.txt: 0.2233902369800472
9.  01064.txt: 0.2086274614915494
10.  00333.txt: 0.20640575526695074
11.  00835.txt: 0.20587572332694115
12.  00186.txt: 0.19997161897569946
13.  00775.txt: 0.19128413818553874
14.  00854.txt: 0.1893679344997337
15.  00234.txt: 0.18647825198808174
16.  00443.txt: 0.17959848836256792
17.  00204.txt: 0.16800106730568815
18.  00319.txt: 0.16217505362186643
19.  00853.txt: 0.1577569778094309
20.  00870.txt: 0.15569688688434846

query file: query_17.txt
1.  00791.txt: 0.24056287033503967
2.  00185.txt: 0.23746300758635938
3.  00816.txt: 0.23586763984825146
4.  01107.txt: 0.2048850411010695
5.  01215.txt: 0.17834201411644665
6.  00150.txt: 0.17816829062379633
7.  00810.txt: 0.1667957506179721
8.  01093.txt: 0.14487151916162305
9.  00688.txt: 0.1446233606275701
10.  00314.txt: 0.14263559949450066
11.  00540.txt: 0.14206104597579805
12.  00181.txt: 0.14159007109073357
13.  00823.txt: 0.1383934089975569
14.  00888.txt: 0.13457365724033538
15.  00730.txt: 0.1319147459782546
16.  00798.txt: 0.1315643983329161
17.  00089.txt: 0.13047827344606755
18.  00424.txt: 0.1276838043364174
19.  00510.txt: 0.12134640645575691
20.  00830.txt: 0.11777626217770025

query file: query_18.txt
1.  01016.txt: 0.34419260131541324
2.  00205.txt: 0.28470311546447735
3.  00423.txt: 0.2803677803708159
4.  00816.txt: 0.2533557729827251
5.  00658.txt: 0.24962093896762486
6.  00642.txt: 0.24766239766373824
7.  00424.txt: 0.2376537757285609
8.  00993.txt: 0.23509285762141494
9.  00185.txt: 0.20129817229976787
10.  00181.txt: 0.18816920737854237
11.  00994.txt: 0.18767117149979207
12.  00313.txt: 0.1739108252613412
13.  00656.txt: 0.170781268413058
14.  00657.txt: 0.15979510261507932
15.  00395.txt: 0.15373034114975878
16.  00540.txt: 0.14877917606086777
17.  00660.txt: 0.1427431423508948
18.  00900.txt: 0.1285210604100387
19.  00220.txt: 0.12480549474081745
20.  00359.txt: 0.12437331941495128

query file: query_19.txt
1.  00791.txt: 0.28104188700876936
2.  00150.txt: 0.24770488926576778
3.  00770.txt: 0.21399880828877677
4.  01234.txt: 0.20000120448862765
5.  00798.txt: 0.19775906126990286
6.  00314.txt: 0.19325572200688645
7.  00438.txt: 0.1871679677351381
8.  00643.txt: 0.17309105994692914
9.  00186.txt: 0.16854851904626775
10.  00510.txt: 0.1656137943281217
11.  00392.txt: 0.1638117767253122
12.  00326.txt: 0.15508616457926544
13.  00755.txt: 0.15349105946382588
14.  00852.txt: 0.14993628154261704
15.  00725.txt: 0.14975426717198084
16.  00688.txt: 0.14497318468246476
17.  01128.txt: 0.14251917325441338
18.  01101.txt: 0.14239674036474326
19.  00635.txt: 0.14208532422773734
20.  01180.txt: 0.13876538664903793

query file: query_2.txt
1.  00592.txt: 0.32669091885665796
2.  00498.txt: 0.25883029909010824
3.  00980.txt: 0.1884021207850673
4.  01170.txt: 0.18374945076271051
5.  00160.txt: 0.1835879082266266
6.  00437.txt: 0.15171044783721482
7.  00754.txt: 0.15095302083621595
8.  00590.txt: 0.1429576163023027
9.  00761.txt: 0.1422769509840642
10.  00137.txt: 0.1373794335277336
11.  00001.txt: 0.1214604839350483
12.  01223.txt: 0.12008749140015737
13.  00265.txt: 0.1126877697226529
14.  00711.txt: 0.10880381705785634
15.  01082.txt: 0.10822782896336863
16.  00555.txt: 0.09936496409724468
17.  00975.txt: 0.09909577206702659
18.  00925.txt: 0.09809165627400909
19.  00912.txt: 0.09803964094622018
20.  00440.txt: 0.09780745515906024

query file: query_3.txt
1.  00856.txt: 0.39799039182812884
2.  00633.txt: 0.31964539745735143
3.  00439.txt: 0.2786983555921711
4.  00500.txt: 0.26641551463671315
5.  00959.txt: 0.2548327605115985
6.  00077.txt: 0.253923243557336
7.  01206.txt: 0.25374648984980785
8.  01196.txt: 0.22293748704124788
9.  00023.txt: 0.20270779678023282
10.  00002.txt: 0.19680615552422404
11.  00635.txt: 0.19042268896469058
12.  00805.txt: 0.18377626959235488
13.  01064.txt: 0.17630095579881816
14.  01024.txt: 0.16676339681290295
15.  00150.txt: 0.1657860912807039
16.  00553.txt: 0.15917878397340096
17.  00515.txt: 0.15861141309531007
18.  00702.txt: 0.15508148491379822
19.  00367.txt: 0.15296046552221956
20.  00462.txt: 0.1482893292366612

query file: query_4.txt
1.  00604.txt: 0.37915389162122587
2.  00876.txt: 0.3101474257735034
3.  00357.txt: 0.28154636766058977
4.  01030.txt: 0.2664652237686714
5.  00725.txt: 0.2348728196142316
6.  00461.txt: 0.20413186062731278
7.  00991.txt: 0.20248578217451582
8.  00498.txt: 0.1689347720761768
9.  00715.txt: 0.16604429875992716
10.  00928.txt: 0.16468003977316992
11.  00374.txt: 0.16031885197997453
12.  00441.txt: 0.15838476124375378
13.  00662.txt: 0.1552265891312592
14.  00867.txt: 0.1547364989943153
15.  00835.txt: 0.1504242179783674
16.  00160.txt: 0.15007042527760647
17.  01039.txt: 0.14930295471274135
18.  00711.txt: 0.14863281347729557
19.  00568.txt: 0.14389655412363644
20.  00539.txt: 0.1430641992487767

query file: query_5.txt
1.  00498.txt: 0.4848455276986431
2.  00754.txt: 0.3055406382486691
3.  00711.txt: 0.298873524704359
4.  00592.txt: 0.2956762114878918
5.  00437.txt: 0.2952774940515084
6.  00975.txt: 0.29007249888282527
7.  00151.txt: 0.2705208745591687
8.  00925.txt: 0.24708422600019023
9.  00481.txt: 0.2421548550069952
10.  00265.txt: 0.22629591995907428
11.  00499.txt: 0.22615198795534813
12.  00501.txt: 0.22139384874572265
13.  01064.txt: 0.21880015170286107
14.  00299.txt: 0.18077389428273957
15.  00776.txt: 0.17956795761176397
16.  00980.txt: 0.1784174856048105
17.  00463.txt: 0.1725754358962926
18.  00827.txt: 0.16512537249834325
19.  00867.txt: 0.16163064409627256
20.  00441.txt: 0.15780198959998296

query file: query_6.txt
1.  00593.txt: 0.3770494492944995
2.  00047.txt: 0.3722300004250964
3.  00031.txt: 0.34117002473969754
4.  00976.txt: 0.270095853832273
5.  00441.txt: 0.25608923782814597
6.  00805.txt: 0.240760004483033
7.  00546.txt: 0.1854592034551627
8.  00945.txt: 0.16630956461958973
9.  01164.txt: 0.15309958920987607
10.  00980.txt: 0.14141488497174157
11.  00496.txt: 0.13664814499355238
12.  00577.txt: 0.13515029949676852
13.  00024.txt: 0.12497535770022508
14.  00077.txt: 0.11208838184520427
15.  00347.txt: 0.1100165875252523
16.  00802.txt: 0.10910802939684654
17.  00592.txt: 0.10862663945418569
18.  00027.txt: 0.10709214660214711
19.  00503.txt: 0.10672382419013378
20.  00497.txt: 0.10584750545545198

query file: query_7.txt
1.  00856.txt: 0.4299269031959342
2.  00498.txt: 0.2797536379206418
3.  01064.txt: 0.24318014129495596
4.  00754.txt: 0.2265060428832712
5.  00439.txt: 0.20887624096430615
6.  00256.txt: 0.2055949686993811
7.  00500.txt: 0.19967061202657108
8.  00975.txt: 0.1828359633366828
9.  00437.txt: 0.1827914312504015
10.  00633.txt: 0.17805693320474894
11.  01196.txt: 0.1761568567070078
12.  00151.txt: 0.1655798454009884
13.  00805.txt: 0.15866912398287525
14.  00023.txt: 0.15192354657294901
15.  00711.txt: 0.15067891265800215
16.  00592.txt: 0.15006469127942082
17.  00497.txt: 0.14450290817922443
18.  00710.txt: 0.1414345998006112
19.  00166.txt: 0.13911186902634246
20.  00481.txt: 0.13809000318581954

query file: query_8.txt
1.  00531.txt: 0.2355926209306758
2.  00166.txt: 0.21757475046318575
3.  00160.txt: 0.1084067439222154
4.  00437.txt: 0.10497518403651421
5.  00439.txt: 0.09147838950919807
6.  00322.txt: 0.0782920117046075
7.  01170.txt: 0.07633419921611373
8.  00011.txt: 0.0751197780758284
9.  00297.txt: 0.06104856891730124
10.  00148.txt: 0.06010698900214035
11.  01067.txt: 0.058336665981961924
12.  00289.txt: 0.05257917622237082
13.  00100.txt: 0.05252369946696157
14.  00025.txt: 0.052302247019181215
15.  01030.txt: 0.051908332526368235
16.  00566.txt: 0.04972357598504619
17.  00773.txt: 0.04956010197076446
18.  00417.txt: 0.04857071283467192
19.  00930.txt: 0.046388307527095975
20.  00690.txt: 0.04634383537486835

query file: query_9.txt
1.  00414.txt: 0.37931627491761594
2.  00870.txt: 0.35569531439620755
3.  00720.txt: 0.34915881924142367
4.  00878.txt: 0.31936033257478597
5.  00545.txt: 0.3062093287279189
6.  00157.txt: 0.29239794506082
7.  00165.txt: 0.2885205052766219
8.  01108.txt: 0.288317506593366
9.  00854.txt: 0.2509915837494709
10.  00676.txt: 0.24726204394191464
11.  01115.txt: 0.24108991307648958
12.  00339.txt: 0.23654346122572936
13.  00581.txt: 0.23022513458981458
14.  00174.txt: 0.22503590602722257
15.  01106.txt: 0.22329218800521983
16.  00204.txt: 0.22267156298689747
17.  00853.txt: 0.2090938669871529
18.  00059.txt: 0.2011212602796416
19.  00099.txt: 0.19052798322534364
20.  00752.txt: 0.18616886002651506
